County,County Code,Year,Zip,Tests,Less than 5 mcg/dL,5-10 mcg/dL,10 – 15 mcg/dL,15 + mcg/dL,Total Elevated Blood Levels ,Percent,"Rate per 1,000",Zip Code Location,County Location
Sullivan,105,2005,12723,8,,,0,0,0,0,0,"(41.781826, -74.983676)","(41.720176, -74.76468)"
Suffolk,103,2009,11733,97,,,0,0,0,0,0,"(40.93285, -73.108934)","(40.943554, -72.692218)"
Schenectady,93,2013,12307,185,149,30,,,6,0.032,32,"(42.802385, -73.93657)","(42.817542, -74.043583)"
Jefferson,45,2018,13685,36,36,0,0,0,0,0,0,"(43.943471, -76.111664)","(44.0607, -75.9928)"
Livingston,51,2000,14437,12,,,0,0,0,0,0,"(42.572707, -77.731377)","(42.727485, -77.76978)"
Columbia,21,2016,12125,11,11,0,0,0,0,0,0,"(42.483586, -73.377729)","(42.247729, -73.626805)"
Otsego,77,2003,13485,1,,,0,0,0,0,0,"(42.78784, -75.318973)","(42.629776, -75.028841)"
Cortland,23,2006,13803,47,31,15,,,,,,"(42.465051, -76.017549)","(42.593824, -76.076265)"
Livingston,51,2002,14462,1,,,0,0,0,0,0,"(42.680605, -77.749793)","(42.727485, -77.76978)"
Ontario,69,2000,14522,5,,,0,0,0,0,0,"(43.068259, -77.224663)","(42.856695, -77.303277)"
Onondaga,67,2002,13141,1,,,0,0,0,0,0,"(42.738644, -76.158017)","(43.00653, -76.196117)"
Wyoming,121,2004,14004,2,,,0,0,0,0,0,"(42.901992, -78.524759)","(42.701363, -78.228567)"
Erie,29,2015,14216,267,246,16,,,,,,"(42.947283, -78.859475)","(42.752759, -78.778192)"
Onondaga,67,2017,13030,20,20,0,0,0,0,0,0,"(43.160577, -75.98454)","(43.00653, -76.196117)"
Saratoga,91,2001,12803,42,35,7,0,0,0,0,0,"(43.28052, -73.63002)","(43.106135, -73.855387)"
Seneca,99,2008,13165,74,,,,,,,,"(42.907458, -76.877046)","(42.7652, -76.8721)"
St. Lawrence,89,2007,13668,30,24,6,0,0,0,0,0,"(44.76282, -74.99124)","(44.488113, -75.074311)"
Orange,71,2000,10919,1,,,0,0,0,0,0,"(41.513113, -74.37616)","(41.40241, -74.306252)"
Wyoming,121,2019,14011,40,,,0,0,0,0,0,"(42.835713, -78.280907)","(42.701363, -78.228567)"
Cattaraugus,9,2020,14753,7,7,0,0,0,0,0,0,"(42.035199, -78.640416)","(42.244853, -78.681006)"
Jefferson,45,2007,13682,3,,,0,0,0,0,0,"(43.847382, -75.859853)","(44.0607, -75.9928)"
Genesee,37,2020,14103,1,,,0,0,0,0,0,"(43.217164, -78.385469)","(43.00091, -78.192778)"
Chautauqua,13,2003,14048,123,93,28,,,,,,"(42.479473, -79.328465)","(42.304216, -79.407595)"
St. Lawrence,89,2003,13697,10,,,0,0,0,0,0,"(44.745875, -74.805347)","(44.488113, -75.074311)"
Delaware,25,2012,12474,12,,,0,0,0,0,0,"(42.287672, -74.561318)","(42.193987, -74.966728)"
Oneida,65,2009,13494,2,,,0,0,0,0,0,"(43.540179, -75.120878)","(43.242727, -75.434282)"
Herkimer,43,2010,13340,69,,,,,,,,"(43.040165, -75.082322)","(43.1631, -74.8741)"
Onondaga,67,2007,13039,235,227,8,0,0,0,0,0,"(43.17216, -76.07172)","(43.00653, -76.196117)"
Cattaraugus,9,2018,14101,16,,,0,0,0,0,0,"(42.407012, -78.51734)","(42.244853, -78.681006)"
Chemung,15,2014,14814,14,14,0,0,0,0,0,0,"(42.145843, -76.947025)","(42.155281, -76.747179)"
Saratoga,91,2009,12134,5,,,0,0,0,0,0,"(43.234942, -74.156837)","(43.106135, -73.855387)"
Dutchess,27,2006,12522,25,,,0,0,0,0,0,"(41.7177, -73.58208)","(41.755009, -73.739951)"
Livingston,51,2017,14481,17,16,0,,,,,,"(42.777475, -77.909721)","(42.727485, -77.76978)"
Wayne,117,2019,13143,18,,,0,0,0,0,0,"(43.235287, -76.731148)","(43.112841, -77.027175)"
Rockland,87,2020,10989,83,,,0,0,0,0,0,"(41.12327, -73.942049)","(41.154785, -74.024772)"
Nassau,59,2015,11791,271,,,,,,,,"(40.813797, -73.502844)","(40.750656, -73.582905)"
Ontario,69,2013,14561,23,,,,,,,,"(42.823591, -77.098747)","(42.856695, -77.303277)"
Suffolk,103,2003,11725,108,,,0,0,0,0,0,"(40.837825, -73.281154)","(40.943554, -72.692218)"
Broome,7,2005,13746,12,,,0,0,0,0,0,"(42.26958, -75.83958)","(42.161977, -75.830291)"
Warren,113,2001,12853,11,,,0,0,0,0,0,"(43.721592, -73.920875)","(43.555105, -73.838139)"
Tompkins,109,2002,14850,451,376,72,,,,,,"(42.445573, -76.496428)","(42.453281, -76.473712)"
Columbia,21,2016,12075,16,,,0,0,0,0,0,"(42.292747, -73.702189)","(42.247729, -73.626805)"
Essex,31,2011,12996,4,,,0,0,0,0,0,"(44.37414, -73.4172)","(44.108971, -73.777573)"
Livingston,51,2004,14572,1,,,0,0,0,0,0,"(42.541439, -77.588869)","(42.727485, -77.76978)"
Herkimer,43,2016,13340,78,,,,,,,,"(43.040165, -75.082322)","(43.1631, -74.8741)"
Monroe,55,2020,14564,1,,,0,0,0,0,0,"(42.979988, -77.424394)","(43.174966, -77.639663)"
Livingston,51,2017,14517,23,,,,,,,,"(42.587711, -77.911103)","(42.727485, -77.76978)"
Suffolk,103,2007,11703,138,,,0,0,0,0,0,"(40.732426, -73.324916)","(40.943554, -72.692218)"
Cayuga,11,2015,13140,33,,,,,,,,"(43.05276, -76.65528)","(43.008546, -76.574587)"
Broome,7,2010,13863,1,,,0,0,0,0,0,"(42.450705, -75.904204)","(42.161977, -75.830291)"
Nassau,59,2004,11003,582,524,54,,,,,,"(40.699109, -73.703659)","(40.750656, -73.582905)"
Cayuga,11,2003,13080,4,,,0,0,0,0,0,"(43.09332, -76.46556)","(43.008546, -76.574587)"
Chautauqua,13,2012,14775,10,10,0,0,0,0,0,0,"(42.26458, -79.707146)","(42.304216, -79.407595)"
Otsego,77,2010,13808,13,,,0,0,0,0,0,"(42.547176, -75.24308)","(42.629776, -75.028841)"
Rockland,87,2017,10970,145,,,0,0,0,0,0,"(41.184834, -74.046948)","(41.154785, -74.024772)"
Fulton,35,2001,13470,2,,,,,,,,"(43.189457, -74.635488)","(43.115609, -74.423678)"
Delaware,25,2013,13804,4,,,0,0,0,0,0,"(42.22237, -75.371063)","(42.193987, -74.966728)"
Westchester,119,2007,10522,131,121,9,,,,,,"(41.011736, -73.865605)","(41.15277, -73.745912)"
Hamilton,41,2017,12190,7,7,0,0,0,0,0,0,"(43.475882, -74.270426)","(43.657879, -74.502456)"
Saratoga,91,2004,12822,49,36,11,,,,,,"(43.242443, -73.838394)","(43.106135, -73.855387)"
Suffolk,103,2004,11766,48,,,0,0,0,0,0,"(40.931723, -73.012963)","(40.943554, -72.692218)"
Chautauqua,13,2020,14787,21,21,0,0,0,0,0,0,"(42.324371, -79.570661)","(42.304216, -79.407595)"
Niagara,63,2004,14304,243,220,22,,,,,,"(43.10016, -78.9552)","(43.203001, -78.71083)"
Schoharie,95,2016,12092,13,,,0,0,0,0,0,"(42.711693, -74.36353)","(42.591294, -74.438172)"
Ulster,111,2017,12515,7,7,0,0,0,0,0,0,"(41.673, -74.05992)","(41.947232, -74.265447)"
Columbia,21,2004,12516,12,,,0,0,0,0,0,"(42.118527, -73.556302)","(42.247729, -73.626805)"
Genesee,37,2010,14011,4,,,0,0,0,0,0,"(42.835713, -78.280907)","(43.00091, -78.192778)"
Orange,71,2019,10921,38,38,0,0,0,0,0,0,"(41.329376, -74.347207)","(41.40241, -74.306252)"
Onondaga,67,2008,13080,23,,,0,0,0,0,0,"(43.09332, -76.46556)","(43.00653, -76.196117)"
Oneida,65,2009,13438,33,,,0,0,0,0,0,"(43.333117, -75.200513)","(43.242727, -75.434282)"
Jefferson,45,2002,13624,27,,,0,0,0,0,0,"(44.239325, -76.08045)","(44.0607, -75.9928)"
Suffolk,103,2017,11727,312,,,0,0,0,0,0,"(40.885609, -73.006703)","(40.943554, -72.692218)"
Greene,39,2017,12468,5,,,0,0,0,0,0,"(42.25962, -74.3607)","(42.286951, -74.149495)"
St. Lawrence,89,2004,13680,3,,,0,0,0,0,0,"(44.591957, -75.320308)","(44.488113, -75.074311)"
Schenectady,93,2017,12010,3,,,0,0,0,0,0,"(42.92364, -74.17086)","(42.817542, -74.043583)"
Ulster,111,2008,12456,6,,,0,0,0,0,0,"(42.0366, -73.99884)","(41.947232, -74.265447)"
Niagara,63,2008,14305,162,140,19,,,,,,"(43.117629, -79.02919)","(43.203001, -78.71083)"
Essex,31,2003,12932,3,,,0,0,0,0,0,"(44.226627, -73.624732)","(44.108971, -73.777573)"
Orange,71,2014,10969,10,9,0,,,,,,"(41.291561, -74.492649)","(41.40241, -74.306252)"
Schenectady,93,2015,12305,61,,,,,,,,"(42.814529, -73.943411)","(42.817542, -74.043583)"
Nassau,59,2012,11735,298,,,0,0,0,0,0,"(40.725297, -73.444737)","(40.750656, -73.582905)"
Broome,7,2004,13797,19,,,0,0,0,0,0,"(42.334546, -76.047179)","(42.161977, -75.830291)"
Jefferson,45,2008,13646,1,,,0,0,0,0,0,"(44.4501, -75.6864)","(44.0607, -75.9928)"
Erie,29,2009,14032,102,,,0,0,0,0,0,"(43.045445, -78.631521)","(42.752759, -78.778192)"
Otsego,77,2011,13843,9,9,0,0,0,0,0,0,"(42.537177, -75.347849)","(42.629776, -75.028841)"
Dutchess,27,2017,12546,14,,,,,,,,"(41.997293, -73.543272)","(41.755009, -73.739951)"
Herkimer,43,2016,13406,1,,,0,0,0,0,0,"(43.139808, -74.969563)","(43.1631, -74.8741)"
Herkimer,43,2011,13322,1,,,0,0,0,0,0,"(42.97391, -75.243398)","(43.1631, -74.8741)"
Schoharie,95,2010,12157,28,,,0,0,0,0,0,"(42.668153, -74.311743)","(42.591294, -74.438172)"
Greene,39,2006,12176,2,,,0,0,0,0,0,"(42.359083, -73.950092)","(42.286951, -74.149495)"
Oneida,65,2009,13490,19,19,0,0,0,0,0,0,"(43.113737, -75.416336)","(43.242727, -75.434282)"
Putnam,79,2000,10512,226,204,22,0,0,0,0,0,"(41.449121, -73.679279)","(41.4351, -73.7949)"
Chautauqua,13,2009,14740,11,,,0,0,0,0,0,"(42.198621, -79.226713)","(42.304216, -79.407595)"
Sullivan,105,2004,12751,8,,,0,0,0,0,0,"(41.680968, -74.674693)","(41.720176, -74.76468)"
Delaware,25,2013,13788,5,,,0,0,0,0,0,"(42.381997, -74.681185)","(42.193987, -74.966728)"
Dutchess,27,2020,12581,15,15,0,0,0,0,0,0,"(41.890719, -73.666476)","(41.755009, -73.739951)"
Chautauqua,13,2017,14767,24,,,,,,,,"(42.063643, -79.499075)","(42.304216, -79.407595)"
Suffolk,103,2004,11792,94,,,0,0,0,0,0,"(40.94544, -72.83502)","(40.943554, -72.692218)"
Jefferson,45,2008,13605,51,42,8,,,,,,"(43.8231, -76.03686)","(44.0607, -75.9928)"
Saratoga,91,2001,12151,5,,,0,0,0,0,0,"(42.92352, -73.7829)","(43.106135, -73.855387)"
Orange,71,2004,10941,114,105,9,0,0,0,0,0,"(41.463349, -74.421398)","(41.40241, -74.306252)"
Tompkins,109,2010,14882,46,,,0,0,0,0,0,"(42.56316, -76.55484)","(42.453281, -76.473712)"
Allegany,3,2001,14727,27,,,,,,,,"(42.211225, -78.268103)","(42.247894, -78.026176)"
Onondaga,67,2002,13219,98,84,13,,,,,,"(43.040139, -76.21702)","(43.00653, -76.196117)"
Monroe,55,2019,14468,155,,,,,,,,"(43.295049, -77.789588)","(43.174966, -77.639663)"
Cayuga,11,2005,13026,8,7,0,,,,,,"(42.743286, -76.652204)","(43.008546, -76.574587)"
Westchester,119,2011,10506,57,,,0,0,0,0,0,"(41.1852, -73.64088)","(41.15277, -73.745912)"
Wayne,117,2012,14589,87,,,0,0,0,0,0,"(43.246564, -77.18323)","(43.112841, -77.027175)"
Putnam,79,2004,10524,34,25,9,0,0,0,0,0,"(41.369283, -73.919944)","(41.4351, -73.7949)"
Chautauqua,13,2009,14701,570,491,69,,,10,0.018,18,"(42.094174, -79.251081)","(42.304216, -79.407595)"
Herkimer,43,2014,13439,11,11,0,0,0,0,0,0,"(42.85141, -74.988541)","(43.1631, -74.8741)"
Wyoming,121,2005,14550,12,,,0,0,0,0,0,"(42.67299, -78.09439)","(42.701363, -78.228567)"
Westchester,119,2012,10509,1,,,0,0,0,0,0,"(41.422678, -73.599511)","(41.15277, -73.745912)"
